"C","Real-Time Energy Market Hourly LMP Report"
"C","Filename: lmp_rt_final_20191219.csv"
"C","Report for: 12/19/2019 - 12/19/2019"
"C","Report generated: 12/20/2019 11:56:10 EST"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","12/19/2019",01,"587","UN.STEVENSN6.9 STEV","NETWORK NODE",77.96,78.3,0.06,-0.4
"D","12/19/2019",01,"590","UN.BIGELOW 115 STRA","NETWORK NODE",70.13,78.3,0.06,-8.23
"D","12/19/2019",01,"591","UN.PRID_CRN34.5SWBK","NETWORK NODE",75.76,78.3,0.06,-2.6
"D","12/19/2019",01,"592","UN.TAMWORTH115 TAMW","NETWORK NODE",75.64,78.3,0.06,-2.72
"D","12/19/2019",01,"595","UN.TORRNGTN69  TT10","NETWORK NODE",79.45,78.3,0.06,1.09
"D","12/19/2019",01,"596","UN.TUNNEL  23.0TUNN","NETWORK NODE",79.1,78.3,0.06,0.74
"D","12/19/2019",01,"598","UN.VERGENNE34.5VERD","NETWORK NODE",77.93,78.3,0.06,-0.43
"D","12/19/2019",01,"599","UN.VERNON  69  VERN","NETWORK NODE",75.56,78.3,0.06,-2.8
"D","12/19/2019",01,"612","UN.WATER_RV23  W_J1","NETWORK NODE",77.64,78.3,0.06,-0.72
"D","12/19/2019",01,"613","UN.WATER_RV115 W_J2","NETWORK NODE",77.64,78.3,0.06,-0.72
"D","12/19/2019",01,"614","UN.MIDDLESX34.5WATR","NETWORK NODE",76.68,78.3,0.06,-1.68
"D","12/19/2019",01,"616","UN.CHSTERME46  WENF","NETWORK NODE",71.22,78.3,0.06,-7.14
"D","12/19/2019",01,"617","UN.LAKEWOOD34.5WEST","NETWORK NODE",71.67,78.3,0.06,-6.69
"D","12/19/2019",01,"618","UN.WHITEFLD34.5WFPL","NETWORK NODE",72.24,78.3,0.06,-6.12
"D","12/19/2019",01,"619","UN.WHITE_LK34.5WHLA","NETWORK NODE",75.65,78.3,0.06,-2.71
"D","12/19/2019",01,"620","UN.WILDER  13.8WILD","NETWORK NODE",78.56,78.3,0.06,0.2
"D","12/19/2019",01,"621","UN.WILLIAM 6.9 WILL","NETWORK NODE",70.66,78.3,0.06,-7.7
"D","12/19/2019",01,"622","UN.EAST_AVE13.8WINO","NETWORK NODE",76.57,78.3,0.06,-1.79
"D","12/19/2019",01,"624","UN.MILLBURY13.8WMIM","NETWORK NODE",79.92,78.3,0.06,1.56
"D","12/19/2019",01,"625","UN.W_MEDWAY13.8WMJ1","NETWORK NODE",79.26,78.3,0.06,0.9
"D","12/19/2019",01,"626","UN.W_MEDWAY13.8WMJ2","NETWORK NODE",79.26,78.3,0.06,0.9
"D","12/19/2019",01,"627","UN.MEDWAYJ313.8WMJ3","NETWORK NODE",80.12,78.3,0.06,1.76
"D","12/19/2019",01,"628","UN.WOODLAND23  WOOD","NETWORK NODE",77.57,78.3,0.06,-0.79
"D","12/19/2019",01,"630","UN.W_SPRFLD13.8WS10","NETWORK NODE",80.12,78.3,0.06,1.76
"D","12/19/2019",01,"633","UN.W_SPRFLD13.8WSP3","NETWORK NODE",80.12,78.3,0.06,1.76
"D","12/19/2019",01,"636","UN.WYMAN_HY13.8WYM1","NETWORK NODE",70.13,78.3,0.06,-8.23
"D","12/19/2019",01,"637","UN.WYMAN_HY13.8WYM2","NETWORK NODE",70.13,78.3,0.06,-8.23
"D","12/19/2019",01,"638","UN.WYMAN_HY13.8WYM3","NETWORK NODE",70.13,78.3,0.06,-8.23
"D","12/19/2019",01,"639","UN.YARMOUTH13.2YAR1","NETWORK NODE",76.35,78.3,0.06,-2.01
"D","12/19/2019",01,"640","UN.YARMOUTH13.2YAR2","NETWORK NODE",76.35,78.3,0.06,-2.01
"D","12/19/2019",01,"641","UN.YARMOUTH13.8YAR3","NETWORK NODE",76.35,78.3,0.06,-2.01
"D","12/19/2019",01,"642","UN.YARMOUTH22  YAR4","NETWORK NODE",75.2,78.3,0.06,-3.16
"D","12/19/2019",01,"739","UN.ROCKY_RV13.8ROCK","NETWORK NODE",78.31,78.3,0.06,-0.05
"D","12/19/2019",01,"754","UN.LOUDEN  34.5BARM","NETWORK NODE",75.99,78.3,0.06,-2.37
"D","12/19/2019",01,"755","UN.W_BUXTON34.5BONE","NETWORK NODE",75.97,78.3,0.06,-2.39
"D","12/19/2019",01,"757","UN.HARRIS  13.2HAR4","NETWORK NODE",70.13,78.3,0.06,-8.23
"D","12/19/2019",01,"760","UN.LOUDEN  34.5NGOR","NETWORK NODE",75.99,78.3,0.06,-2.37
"D","12/19/2019",01,"761","UN.WINSLOW 34.5SHAW","NETWORK NODE",73.05,78.3,0.06,-5.31
"D","12/19/2019",01,"767","UN.OAK_HILL34.5CONC","NETWORK NODE",76.04,78.3,0.06,-2.32
"D","12/19/2019",01,"768","UN.GARVINS 34.5GARV","NETWORK NODE",75.92,78.3,0.06,-2.44
"D","12/19/2019",01,"769","UN.N_CANAL 34.5HADL","NETWORK NODE",80.15,78.3,0.06,1.79
"D","12/19/2019",01,"774","UN.E_FAIRFX34.5LLAM","NETWORK NODE",74.55,78.3,0.06,-3.81
"D","12/19/2019",01,"779","UN.MIDDLESX34.5MSX2","NETWORK NODE",76.68,78.3,0.06,-1.68
"D","12/19/2019",01,"783","UN.HIGHGATE46  HGFA","NETWORK NODE",64.74,78.3,-6.81,-6.75
"D","12/19/2019",01,"1005","UN.DIGHTON 115 DIGH","NETWORK NODE",80.86,78.3,0.06,2.5
"D","12/19/2019",01,"1030","UN.FALMOUTH25  OAKB","NETWORK NODE",80.51,78.3,0.06,2.15
"D","12/19/2019",01,"1031","UN.FALMOUTH25  WTIS","NETWORK NODE",80.51,78.3,0.06,2.15
"D","12/19/2019",01,"1032","UN.BPT_ENER16  BHCC","NETWORK NODE",78.03,78.3,0.06,-0.33
"D","12/19/2019",01,"1086","UN.BERK_PWR21  BERK","NETWORK NODE",80.1,78.3,0.06,1.74
"D","12/19/2019",01,"1185","UN.STONYBRK13.2ST1A","NETWORK NODE",79.71,78.3,0.06,1.35
"D","12/19/2019",01,"1186","UN.STONYBRK13.2ST1B","NETWORK NODE",79.71,78.3,0.06,1.35
"D","12/19/2019",01,"1187","UN.STONYBRK13.2ST1C","NETWORK NODE",79.71,78.3,0.06,1.35
"D","12/19/2019",01,"1210","UN.MILLENUM16  MILN","NETWORK NODE",79.51,78.3,0.06,1.15
"D","12/19/2019",01,"1221","UN.ESSEX   34.5ESSD","NETWORK NODE",76.55,78.3,0.06,-1.81
"D","12/19/2019",01,"1226","UN.TIVERTON18.0TIVR","NETWORK NODE",82.67,78.3,0.06,4.31
"D","12/19/2019",01,"1255","UN.RUMFD_IP18.0RUMF","NETWORK NODE",72.86,78.3,0.06,-5.5
"D","12/19/2019",01,"1286","UN.BLKSTONE21  BKS1","NETWORK NODE",79.24,78.3,0.06,0.88
"D","12/19/2019",01,"1287","UN.BLKSTONE21  BKS2","NETWORK NODE",79.24,78.3,0.06,0.88
"D","12/19/2019",01,"1342","UN.LAKE_RD 21  LRD1","NETWORK NODE",79.01,78.3,0.06,0.65
"D","12/19/2019",01,"1343","UN.LAKE_RD 21  LRD2","NETWORK NODE",79.01,78.3,0.06,0.65
"D","12/19/2019",01,"1344","UN.LAKE_RD 21  LRD3","NETWORK NODE",79.01,78.3,0.06,0.65
"D","12/19/2019",01,"1376","UN.WALNGFRD13.8WAL1","NETWORK NODE",79.28,78.3,0.06,0.92
"D","12/19/2019",01,"1377","UN.WALNGFRD13.8WAL2","NETWORK NODE",79.28,78.3,0.06,0.92
"D","12/19/2019",01,"1378","UN.WALNGFRD13.8WAL3","NETWORK NODE",79.28,78.3,0.06,0.92
"D","12/19/2019",01,"1379","UN.WALNGFRD13.8WAL4","NETWORK NODE",79.28,78.3,0.06,0.92
"D","12/19/2019",01,"1380","UN.WALNGFRD13.8WAL5","NETWORK NODE",79.28,78.3,0.06,0.92
"D","12/19/2019",01,"1385","UN.MILFD_CT21  MFD1","NETWORK NODE",77.96,78.3,0.06,-0.4
"D","12/19/2019",01,"1386","UN.MILFD_CT21  MFD2","NETWORK NODE",77.96,78.3,0.06,-0.4
"D","12/19/2019",01,"1412","UN.BELL_30321  BEL1","NETWORK NODE",79.3,78.3,0.06,0.94
"D","12/19/2019",01,"1415","UN.BELL_30321  BEL2","NETWORK NODE",79.3,78.3,0.06,0.94
"D","12/19/2019",01,"1432","UN.SYKES_RD13.8FLRV","NETWORK NODE",81.73,78.3,0.06,3.37
"D","12/19/2019",01,"1478","UN.MYSTIC  18.1MYS8","NETWORK NODE",77.69,78.3,0.06,-0.67
"D","12/19/2019",01,"1616","UN.MYSTIC  18.1MYS9","NETWORK NODE",77.07,78.3,0.06,-1.29
"D","12/19/2019",01,"1630","UN.RISE    18.0RISE","NETWORK NODE",78.97,78.3,0.06,0.61
"D","12/19/2019",01,"1649","UN.NEW_ENER18.0NEWE","NETWORK NODE",76.17,78.3,0.06,-2.19
"D","12/19/2019",01,"1672","UN.KENDALL 18.0KEN4","NETWORK NODE",78.13,78.3,0.06,-0.23
