"C","Real-Time Energy Market Hourly LMP Report"
"C","Filename: lmp_rt_final_20190122.csv"
"C","Report for: 01/22/2019 - 01/22/2019"
"C","Report generated: 03/30/2020 17:51:59 EDT"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","01/22/2019",01,"565","UN.HIGHGATE46  SHEL","NETWORK NODE",70.24,128.78,-48.32,-10.22
"D","01/22/2019",01,"566","UN.SHEPAUG 69  SHEP","NETWORK NODE",129.72,128.78,0.27,0.67
"D","01/22/2019",01,"567","UN.SHERMAN 115 SHER","NETWORK NODE",128.72,128.78,0.27,-0.33
"D","01/22/2019",01,"568","UN.ROLF_AVE69  SHRW","NETWORK NODE",129.94,128.78,0.27,0.89
"D","01/22/2019",01,"569","UN.LOUDEN  34.5SKEL","NETWORK NODE",127.51,128.78,0.27,-1.54
"D","01/22/2019",01,"570","UN.SMITH_HY6.9 SMTH","NETWORK NODE",111.45,128.78,0.27,-17.6
"D","01/22/2019",01,"572","UN.S_MEADOW13.8SO11","NETWORK NODE",130.74,128.78,0.27,1.69
"D","01/22/2019",01,"573","UN.S_MEADOW13.8SO12","NETWORK NODE",130.74,128.78,0.27,1.69
"D","01/22/2019",01,"574","UN.S_MEADOW13.8SO13","NETWORK NODE",130.74,128.78,0.27,1.69
"D","01/22/2019",01,"575","UN.S_MEADOW13.8SO14","NETWORK NODE",130.74,128.78,0.27,1.69
"D","01/22/2019",01,"580","UN.S_MEADOW11.5SOM5","NETWORK NODE",130.74,128.78,0.27,1.69
"D","01/22/2019",01,"581","UN.S_MEADOW11.5SOM6","NETWORK NODE",130.74,128.78,0.27,1.69
"D","01/22/2019",01,"583","UN.STONYBRK13.2ST2A","NETWORK NODE",129.99,128.78,0.27,0.94
"D","01/22/2019",01,"584","UN.STONYBRK13.2ST2B","NETWORK NODE",129.99,128.78,0.27,0.94
"D","01/22/2019",01,"587","UN.STEVENSN6.9 STEV","NETWORK NODE",128.77,128.78,0.27,-0.28
"D","01/22/2019",01,"590","UN.BIGELOW 115 STRA","NETWORK NODE",117.67,128.78,0.27,-11.38
"D","01/22/2019",01,"591","UN.PRID_CRN34.5SWBK","NETWORK NODE",127.35,128.78,0.27,-1.7
"D","01/22/2019",01,"592","UN.TAMWORTH115 TAMW","NETWORK NODE",127.16,128.78,0.27,-1.89
"D","01/22/2019",01,"595","UN.TORRNGTN69  TT10","NETWORK NODE",130.31,128.78,0.27,1.26
"D","01/22/2019",01,"596","UN.TUNNEL  23.0TUNN","NETWORK NODE",128.86,128.78,0.27,-0.19
"D","01/22/2019",01,"598","UN.VERGENNE34.5VERD","NETWORK NODE",129.4,128.78,0.27,0.35
